,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
agent_call_AJ,1000.0,999.639,999.235,998.822,998.418,998.221,997.832,997.413,996.988,996.658,996.377,995.995,995.696,995.364,995.054,994.763,994.41,994.078,993.692,993.317,993.002,992.617,992.324,992.038,991.74,991.402,991.055,990.782,990.45,990.112,989.765,989.51,989.265,988.931,988.6,988.163,987.818,987.463,987.164,986.868,986.612,986.361,986.042,985.737,985.285,984.889,984.635,984.463,984.211,984.05,983.746,983.435,983.068,982.688,982.265,981.991,981.747,981.496,981.232,980.83,980.463,980.116,979.74,979.346,979.084,978.825,978.574,978.257,977.928,977.597,977.366,977.099,976.82,976.58,976.341,975.964,975.645,975.311,974.929,974.697,974.355,974.0,973.819,973.529,973.159,972.727,972.424,972.114,971.835,971.572,971.252,970.954,970.564,970.168,969.783,969.458,969.142,968.815,968.535,968.188,967.863
agent_call_AJ_flop,1000.0,999.619,999.255,998.887,998.492,998.165,997.845,997.514,997.192,996.845,996.518,996.198,995.85,995.531,995.196,994.907,994.509,994.154,993.752,993.344,992.976,992.669,992.361,991.909,991.548,991.267,990.853,990.504,990.085,989.747,989.376,988.984,988.678,988.243,987.871,987.608,987.369,987.138,986.798,986.523,986.193,985.805,985.522,985.26,984.939,984.626,984.277,983.946,983.622,983.291,982.897,982.621,982.276,981.976,981.589,981.179,980.922,980.61,980.331,979.997,979.611,979.234,978.834,978.518,978.237,977.903,977.587,977.264,976.88,976.539,976.179,975.796,975.612,975.337,974.952,974.603,974.322,974.021,973.671,973.361,973.011,972.746,972.41,972.127,971.836,971.577,971.164,970.856,970.552,970.232,969.997,969.722,969.426,969.154,968.839,968.452,968.121,967.794,967.48,967.188,966.853
agent_call_top_pair_AJ,1000.0,999.772,999.463,999.14,998.835,998.484,998.119,997.797,997.481,997.198,996.846,996.566,996.295,995.901,995.563,995.259,995.019,994.662,994.314,993.917,993.594,993.358,992.959,992.593,992.288,991.959,991.517,991.169,990.902,990.531,990.16,989.799,989.475,989.237,988.886,988.613,988.291,987.957,987.557,987.296,987.002,986.628,986.361,986.084,985.755,985.439,985.103,984.776,984.424,984.095,983.775,983.542,983.287,982.939,982.57,982.254,981.87,981.509,981.189,980.869,980.622,980.309,979.951,979.597,979.162,978.79,978.428,978.17,977.913,977.59,977.265,976.864,976.49,976.094,975.678,975.35,975.103,974.774,974.378,974.027,973.764,973.363,972.974,972.631,972.291,971.944,971.569,971.25,970.985,970.589,970.239,969.849,969.634,969.388,969.054,968.7,968.462,968.137,967.775,967.426,967.165
agent_raise_AJ,1000.0,999.679,999.403,999.125,998.812,998.491,998.179,997.853,997.53,997.217,996.891,996.586,996.309,995.98,995.633,995.307,994.963,994.644,994.304,993.956,993.647,993.325,993.0,992.688,992.327,991.97,991.644,991.286,990.926,990.599,990.278,989.965,989.605,989.25,988.917,988.58,988.195,987.81,987.504,987.223,986.856,986.487,986.132,985.782,985.445,985.05,984.686,984.388,984.068,983.705,983.324,982.972,982.598,982.241,981.882,981.543,981.203,980.873,980.496,980.127,979.755,979.37,979.041,978.703,978.324,977.972,977.635,977.274,976.888,976.505,976.149,975.842,975.458,975.068,974.715,974.394,974.007,973.609,973.247,972.93,972.58,972.187,971.791,971.457,971.108,970.718,970.349,970.019,969.659,969.288,968.886,968.522,968.158,967.796,967.438,967.102,966.732,966.361,965.977,965.601,965.209
agent_raise_aggressive_AJ,1000.0,999.715,999.423,999.129,998.786,998.463,998.145,997.844,997.547,997.239,996.921,996.615,996.296,995.963,995.619,995.29,994.951,994.625,994.328,994.012,993.673,993.347,992.993,992.67,992.323,991.943,991.591,991.302,990.995,990.653,990.304,989.969,989.628,989.282,988.873,988.52,988.221,987.877,987.544,987.221,986.865,986.511,986.139,985.765,985.419,985.078,984.731,984.415,984.078,983.714,983.321,982.972,982.617,982.231,981.906,981.563,981.236,980.888,980.489,980.117,979.778,979.397,979.03,978.704,978.359,978.013,977.628,977.25,976.895,976.538,976.166,975.802,975.48,975.127,974.739,974.368,974.006,973.633,973.279,972.923,972.56,972.227,971.839,971.466,971.1,970.723,970.365,970.021,969.657,969.294,968.925,968.551,968.183,967.807,967.446,967.093,966.739,966.379,965.974,965.617,965.256
background_agent_v1,1000.0,1002.499,1014.878,1027.298,1026.11,1033.532,1051.372,1052.897,1053.223,1055.703,1058.033,1064.524,1065.143,1073.711,1078.862,1071.891,1068.265,1067.158,1063.59,1061.934,1063.54,1068.471,1069.199,1069.994,1060.629,1054.147,1054.741,1055.032,1054.376,1057.432,1058.017,1064.707,1061.224,1058.959,1055.762,1053.116,1058.932,1067.48,1069.168,1067.665,1065.721,1056.105,1049.595,1054.354,1052.352,1058.226,1057.691,1059.387,1052.65,1055.291,1055.881,1053.441,1051.988,1041.24,1042.139,1046.867,1043.265,1041.494,1044.716,1048.469,1050.322,1047.303,1046.153,1046.1,1051.139,1051.973,1056.872,1055.769,1055.952,1053.364,1056.685,1058.22,1054.596,1052.795,1052.222,1052.162,1052.745,1056.355,1053.848,1053.324,1053.246,1053.983,1055.752,1060.971,1061.603,1070.162,1072.367,1074.936,1076.392,1078.994,1081.594,1083.13,1085.918,1084.429,1081.68,1081.814,1078.974,1079.999,1079.374,1078.827,1077.382
background_agent_v2,1000.0,1006.601,1012.374,1013.919,1032.987,1035.426,1036.987,1039.562,1046.124,1039.448,1041.994,1043.459,1047.078,1049.816,1044.291,1041.94,1036.302,1038.11,1038.421,1043.45,1041.947,1046.724,1051.177,1054.806,1063.459,1063.072,1067.831,1063.207,1063.997,1061.837,1072.424,1070.69,1067.384,1066.476,1072.509,1075.036,1072.631,1066.295,1063.732,1067.441,1070.098,1078.017,1080.477,1078.096,1076.857,1079.326,1082.981,1086.601,1087.59,1087.23,1091.772,1092.739,1094.352,1105.381,1099.986,1095.252,1098.61,1102.532,1097.629,1099.491,1100.089,1105.168,1103.637,1106.089,1100.422,1101.231,1104.09,1103.775,1104.486,1102.919,1098.489,1097.27,1098.758,1100.378,1100.156,1096.438,1097.932,1088.324,1088.015,1088.49,1084.887,1086.425,1087.081,1083.4,1086.166,1080.302,1079.887,1078.355,1077.787,1076.419,1074.068,1070.626,1069.154,1070.655,1074.501,1077.636,1079.508,1078.994,1080.854,1079.378,1083.102
player_call,1000.0,999.185,998.423,997.592,996.85,996.367,995.793,995.091,994.722,994.349,993.996,993.469,992.756,992.146,991.566,991.314,991.201,990.867,990.744,990.406,990.274,989.921,989.459,989.212,988.971,988.954,988.933,988.846,988.753,988.485,988.137,987.766,987.483,987.309,987.154,987.042,986.93,986.633,986.464,986.4,986.322,986.176,986.093,986.045,985.878,985.955,985.831,985.705,985.732,985.67,985.536,985.444,985.457,985.35,985.442,985.45,985.413,985.535,985.29,985.266,985.233,985.271,985.184,985.304,985.353,985.369,985.342,985.282,985.165,985.257,985.449,985.395,985.45,985.703,985.686,985.751,985.679,985.666,985.737,985.948,985.994,986.223,986.248,986.255,986.258,986.18,986.23,986.216,986.503,986.697,986.694,986.763,986.67,986.649,986.748,986.83,986.863,987.143,987.123,987.163,987.172
player_raise,1000.0,999.345,998.72,998.241,997.583,996.822,996.37,996.059,995.545,994.987,994.513,994.272,993.984,993.519,992.998,992.516,992.275,991.892,991.644,991.275,991.094,990.883,990.746,990.56,990.276,990.043,989.835,989.517,989.411,989.111,988.84,988.855,988.782,988.605,988.431,988.463,988.433,988.377,988.375,988.177,988.161,988.048,988.021,987.835,987.846,987.891,987.771,987.477,987.48,987.565,987.512,987.527,987.639,987.717,987.664,987.675,987.652,987.72,987.924,987.897,987.968,988.181,988.352,988.298,988.349,988.204,988.258,988.414,988.491,988.714,988.624,988.682,988.724,988.861,988.916,989.125,989.383,989.433,989.62,989.61,989.82,989.844,989.773,989.72,990.038,990.321,990.357,990.511,990.606,990.605,990.468,990.612,990.801,991.091,991.233,991.249,991.34,991.35,991.492,991.653,991.79
player_random,1000.0,993.946,977.583,965.273,947.645,939.212,919.465,912.5,903.914,905.109,900.124,890.034,884.995,870.717,865.968,867.021,873.74,870.158,868.038,862.533,855.787,839.246,827.796,817.54,814.801,817.59,800.655,800.51,793.308,788.035,771.283,764.056,768.901,767.515,758.126,756.683,745.659,741.03,738.458,728.444,718.742,718.13,718.664,708.4,705.995,696.755,693.149,681.189,681.529,678.636,669.84,670.32,671.637,663.907,666.503,658.613,653.014,649.115,647.39,641.427,638.493,634.323,636.659,633.04,633.458,630.644,618.476,619.983,618.265,618.647,616.871,617.233,619.606,617.099,613.149,615.78,613.977,618.838,621.434,621.771,622.67,618.747,616.011,613.196,610.078,605.971,602.954,603.388,603.69,601.864,601.112,602.72,600.932,600.194,598.308,595.377,596.78,594.952,595.34,595.369,594.618
